State Name,District Name,Population,Literacy Rate,Sex Ratio,Workers
ANDAMAN AND NICOBAR ISLANDS,Nicobars,36842,68.7584821670919,777.4883002846528,17125
ANDHRA PRADESH,Krishna,4517398,66.62503503122815,992.347097414411,2048880
ANDHRA PRADESH,Khammam,2797370,58.27738196949277,1011.0669538486314,1410062
ANDHRA PRADESH,Adilabad,2741239,54.112282803506005,1001.4931399528475,1323667
ARUNACHAL PRADESH,Tawang,49977,52.169998199171616,714.418030256252,28561
ARUNACHAL PRADESH,West Kameng,83947,57.76501840446948,818.8061965117539,42493
ASSAM,Dhemaji,686133,61.65393589872517,953.4091200259644,316800
ASSAM,Golaghat,1066888,67.6513373475004,964.220553390247,479928
ASSAM,Tinsukia,1327929,60.11782256430879,952.173599850639,557196
ASSAM,Kamrup,1517542,65.58757517090137,949.4130084872588,628954
BIHAR,Gaya,4391418,52.32052608064184,937.4763408610206,1664062
BIHAR,Jehanabad,1125313,54.99634323961422,921.7001205638151,365378
BIHAR,Madhubani,4487379,48.03111125670464,926.481756638116,1636938
BIHAR,Muzaffarpur,4801062,52.264103233826184,899.5322249640652,1547586
BIHAR,Kaimur (Bhabua),1626384,56.584176922547194,920.156409753886,511163
CHANDIGARH,Chandigarh,1055450,76.31228385996495,817.6636017793454,404136
CHHATTISGARH,Koriya,658917,60.375282471085136,968.4618073293361,307071
CHHATTISGARH,Surguja,2359886,50.33891467638691,977.8967739448124,1155807
DADRA AND NAGAR HAVELI,Dadra AND Nagar Haveli,343709,64.94738281511395,773.8903798513626,157161
DAMAN AND DIU,Daman,191173,78.64499693994445,533.5675723373362,105521
GOA,South Goa,640537,78.43840402662141,986.3891361179423,249590
GUJARAT,Rajkot,3804558,71.62608639426709,926.8999642937636,1479050
GUJARAT,Panch Mahals,2390776,60.26516076788457,948.5346315001048,1097507
GUJARAT,Kachchh,2092371,59.851670664523645,907.8147267758816,776228
GUJARAT,Surat,6081322,75.17131965714033,787.4549118458984,2553542
HARYANA,Panchkula,561293,72.2114831291322,872.9807560756676,211479
HARYANA,Gurgaon,1514432,73.3684972319655,854.3535490822711,544716
HARYANA,Mahendragarh,922088,68.35085154562255,894.7078585885569,338584
HIMACHAL PRADESH,Shimla,814010,75.26222036584316,915.1419046252227,430926
JAMMU AND KASHMIR,Kupwara,870354,50.51438839828391,835.4541428541302,229064
JAMMU AND KASHMIR,Anantnag,1078692,50.57347231647217,927.0374995310549,389684
JAMMU AND KASHMIR,Bandipore,392232,47.41556017866977,888.6363636363636,149317
JHARKHAND,Dhanbad,2684487,64.15393332133849,909.3677184776764,844504
JHARKHAND,Dumka,1321442,50.88448830898366,976.6856041907873,624779
JHARKHAND,Garhwa,1322784,49.4015651837337,935.097099806166,571431
KARNATAKA,Chikkaballapura,1255104,62.4029562490439,972.0789331858456,639778
KARNATAKA,Chikmagalur,1137961,71.91327295047897,1008.324773835114,565774
KARNATAKA,Chamarajanagar,1020791,55.37656582003564,992.833311533273,481693
KARNATAKA,Bangalore,9621551,78.07759892349996,915.6281899176552,4246927
KERALA,Kottayam,1974551,88.61751355118201,1039.2165975240864,735735
KERALA,Pathanamthitta,1197412,88.73746045638427,1131.703565502852,392794
LAKSHADWEEP,Lakshadweep,64473,81.51164053169543,946.4722398333483,18753
MADHYA PRADESH,Umaria,644758,55.318739744214106,949.829741679116,289691
MADHYA PRADESH,Balaghat,1701698,67.43987476038639,1020.5918463792689,893014
MADHYA PRADESH,Harda,570465,61.80046102740746,934.8421845216695,230979
MADHYA PRADESH,Singrauli,1178273,49.65351832724674,920.1466013294505,499439
MADHYA PRADESH,Ujjain,1986864,62.45973554304673,955.0187003893577,897442
MADHYA PRADESH,Khandwa (East Nimar),1310061,55.845872825769185,942.7623608060753,612976
MADHYA PRADESH,Bhopal,2371061,70.03995257819179,918.1323970779772,867457
MAHARASHTRA,Bid,2585049,66.4787011774245,916.1200083610925,1255548
MAHARASHTRA,Yavatmal,2772348,72.9552711275785,952.4058691587469,1355999
MAHARASHTRA,Pune,9429408,76.05698045943076,914.9486048733729,4048993
MAHARASHTRA,Mumbai Suburban,9356962,80.96094651234023,859.741861136723,3735021
MAHARASHTRA,Hingoli,1177345,67.16323592489883,941.8714353102621,569182
MANIPUR,Ukhrul,183998,70.56000608702269,942.5874701746236,87929
MEGHALAYA,West Garo Hills,643291,55.76045677617129,984.4921782211816,255693
MIZORAM,Kolasib,83955,78.48847596926926,956.1722354256955,36672
NAGALAND,Phek,163418,64.79885936677722,951.4228054882199,80277
NCT OF DELHI,South West,2292958,77.9643150899406,840.1872804053783,795352
ORISSA,Nabarangapur,1220946,38.52578246703786,1018.7198666693121,610906
ORISSA,Nayagarh,962789,71.49666230087797,915.4795915931211,343633
ORISSA,Balangir,1648997,56.23175785037814,986.5112149543969,720601
ORISSA,Puri,1698730,76.05322799974098,962.987358154799,621676
PONDICHERRY,PONDICHERRY,950289,76.46610662651047,1029.41327217047,348105
PUNJAB,Gurdaspur,2298323,71.12659969899792,895.3412330521509,757138
PUNJAB,Sahibzada Ajit Singh Nagar,994628,74.05532520701207,879.3053605742433,355995
PUNJAB,Tarn Taran,1119627,59.498565147142756,899.7045993257195,380702
