State Name,District Name,Population,Literacy Rate,Sex Ratio,Workers
ARUNACHAL PRADESH,Anjaw,21167,47.19610714791893,839.489006691579,10501
KERALA,Ernakulam,3282388,86.99995247362591,1026.7196523493772,1249343
UTTAR PRADESH,Agra,4418797,60.66153299189803,868.4502398144909,1389844
MEGHALAYA,Jaintia Hills,395124,47.46029094663954,1013.0116921822861,154180
PUNJAB,Moga,995746,63.057145095235136,893.3411925768178,359172
UTTAR PRADESH,Sonbhadra,1862559,52.92224300008751,917.5070829695761,730399
JHARKHAND,Dumka,1321442,50.88448830898366,976.6856041907873,624779
UTTARAKHAND,Chamoli,391605,71.6425990475096,1018.6761241500894,180940
ANDAMAN AND NICOBAR ISLANDS,North  AND Middle Andaman,105597,74.51253350000474,924.8099742986822,38579
BIHAR,Gaya,4391418,52.32052608064184,937.4763408610206,1664062
ORISSA,Malkangiri,613192,39.906913332202635,1019.5768450451874,310666
BIHAR,Kishanganj,1690400,44.07572172266919,949.7791157710186,529064
RAJASTHAN,Churu,2039547,56.34922852966859,939.7543953755114,902829
HIMACHAL PRADESH,Lahul AND Spiti,31564,69.20859206691166,902.8213166144201,19295
ANDHRA PRADESH,Sri Potti Sriramulu Nellore,2963557,61.82398381404508,985.0024179925438,1314561
BIHAR,Purba Champaran,5099371,44.65172273207813,901.8923925736487,1737539
UTTAR PRADESH,Ambedkar Nagar,2397888,62.010360784156724,977.7863923920125,787398
